"idAll";"clusters"
"2";2
"4";2
"6";2
"8";2
"10";2
"12";2
"14";2
"16";2
"18";2
"20";2
"22";2
"24";2
"26";2
"28";2
"30";2
"32";2
"34";2
"36";2
"38";2
"40";2
"42";2
"44";2
"46";2
"48";2
"50";2
"52";2
"54";2
"56";2
"58";2
"60";2
"62";2
"64";2
"66";2
"68";2
"70";2
"72";2
"74";2
"76";2
"78";2
"80";2
"82";2
"84";2
"86";2
"88";2
"90";2
"92";2
"94";2
"96";2
"98";2
"100";2
"102";2
"104";1
"106";2
"108";2
"110";2
"112";2
"114";2
"116";1
"118";2
"120";2
"122";1
"124";2
"126";2
"128";2
"130";2
"132";1
"134";2
"136";2
"138";2
"140";2
"142";1
"144";2
"146";2
"148";1
"150";2
"152";2
"154";2
"156";2
"158";2
"160";2
"162";1
"164";1
"166";1
"168";1
"170";1
"172";1
"174";1
"176";1
"178";1
"180";1
"182";1
"184";1
"186";1
"188";1
"190";1
"192";1
"194";1
"196";1
"198";1
"200";1
"202";1
"204";1
"206";1
"208";1
"210";1
"212";1
"214";1
"216";1
"218";1
"220";1
"222";1
"224";1
"226";1
"228";1
"230";1
"232";1
"234";1
"236";1
"238";1
"240";1
"242";1
"244";1
"246";1
"248";1
"250";1
"252";1
"254";1
"256";1
"258";1
"260";1
"262";1
"264";1
"266";1
"268";1
"270";1
"272";1
"274";1
"276";1
"278";1
"280";1
"282";1
"284";1
"286";1
"288";1
"290";1
"292";1
"294";1
"296";1
"298";1
"300";1
"302";1
"304";1
"306";1
"308";1
"310";1
"312";1
"314";1
"316";1
"318";1
"320";1
"322";1
"324";1
"326";1
"328";1
"330";1
"332";1
"334";1
"336";1
"338";1
"340";1
"342";1
"344";1
"346";1
"348";1
"350";1
"352";1
"354";1
"356";1
"358";1
"360";1
"362";1
"364";1
"366";1
"368";1
"370";1
"372";1
"374";1
"376";1
"378";1
"380";1
"382";1
"384";1
"386";1
"388";1
"390";1
"392";1
"394";1
"396";1
"398";1
"400";1
